ingredient,category,reason
yello,Unknown,Not found in rulebook
lupin-flour,Unknown,Not found in rulebook
egg-white,Unknown,Not found in rulebook
mint,Unknown,Not found in rulebook
cocoa-paste,Unknown,Not found in rulebook
potato-starch,Unknown,Not found in rulebook
fr:graines-de-pavot-1-sel,Unknown,Not found in rulebook
mono-and-diglycerides-and-soybean-lecithin-added,Unknown,Not found in rulebook
skimmed-yogurt,Unknown,Not found in rulebook
animal-protein,Unknown,Not found in rulebook
brown-rice-flour,Unknown,Not found in rulebook
e341,Unknown,Not found in rulebook
alpha-tocopherals,Unknown,Not found in rulebook
sodium-molybadate,Unknown,Not found in rulebook
natural-pineapple-flavor,Unknown,Not found in rulebook
copper,Unknown,Not found in rulebook
partially-hydrogenate-palm,Unknown,Not found in rulebook
kale,Unknown,Not found in rulebook
orange-juice,Unknown,Not found in rulebook
milk-proteins,Unknown,Not found in rulebook
equisetum-arvense,Unknown,Not found in rulebook
invert-sugar,Unknown,Not found in rulebook
secret-spices,Unknown,Not found in rulebook
filtered-water,Unknown,Not found in rulebook
enrichment,Unknown,Not found in rulebook
e530,Unknown,Not found in rulebook
fr:a-rec-cier-localement-www-consignesdetn-fr-250-g-valable-uniquement-pour-la-france,Unknown,Not found in rulebook
pasteurised-whole-milk,Unknown,Not found in rulebook
cultured-pasteurized-milk,Unknown,Not found in rulebook
tahini,Unknown,Not found in rulebook
confectioner-s-glaze,Unknown,Not found in rulebook
nonpareils,Unknown,Not found in rulebook
concentrated-apple-juice,Unknown,Not found in rulebook
sugar,Unknown,Not found in rulebook
blueberry-juice,Unknown,Not found in rulebook
it:vinaigre-de-vin,Unknown,Not found in rulebook
root-beer-concentrate,Unknown,Not found in rulebook
e551,Unknown,Not found in rulebook
colza-oil,Unknown,Not found in rulebook
vanilla,Unknown,Not found in rulebook
olive-oil,Unknown,Not found in rulebook
e905a,Unknown,Not found in rulebook
sheeps-milk,Unknown,Not found in rulebook
strawberry-flavored-dried-cranberries,Unknown,Not found in rulebook
vanllan,Unknown,Not found in rulebook
oat,Unknown,Not found in rulebook
crisps,Unknown,Not found in rulebook
ferment,Unknown,Not found in rulebook
must,Unknown,Not found in rulebook
blended-oil,Unknown,Not found in rulebook
e412,Unknown,Not found in rulebook
rosemary,Unknown,Not found in rulebook
raspberry-juice,Unknown,Not found in rulebook
gluten,Unknown,Not found in rulebook
autolysed-yeast-powder,Unknown,Not found in rulebook
glycol-monoesters,Unknown,Not found in rulebook
white-wine-vinegar,Unknown,Not found in rulebook
or,Unknown,Not found in rulebook
pistachio-nuts,Unknown,Not found in rulebook
glaze,Unknown,Not found in rulebook
dehydrated-blend-of-whey,Unknown,Not found in rulebook
fr:garniture-patissiere,Unknown,Not found in rulebook
canola,Unknown,Not found in rulebook
unrefined-cane-sugar,Unknown,Not found in rulebook
powdered-egg-white,Unknown,Not found in rulebook
puree,Unknown,Not found in rulebook
e407,Unknown,Not found in rulebook
ferric-orthophosphate,Unknown,Not found in rulebook
de:süßstoff-natrium-saccharin,Unknown,Not found in rulebook
fresh-cream,Unknown,Not found in rulebook
diluted-with-water-to-4-acidity,Unknown,Not found in rulebook
plant,Unknown,Not found in rulebook
tea,Unknown,Not found in rulebook
pulse,Unknown,Not found in rulebook
fr:et-leurs-derives,Unknown,Not found in rulebook
un-refined-sugar,Unknown,Not found in rulebook
peanut-flour,Unknown,Not found in rulebook
fish,Unknown,Not found in rulebook
fr:amandes-e-miel,Unknown,Not found in rulebook
molybdenum,Unknown,Not found in rulebook
linden-flowers,Unknown,Not found in rulebook
e1200,Unknown,Not found in rulebook
coating,Unknown,Not found in rulebook
oat-fibre,Unknown,Not found in rulebook
peanut-flavored-coating-dried-cane-syrup,Unknown,Not found in rulebook
smoke,Unknown,Not found in rulebook
cherry-pie-filling,Unknown,Not found in rulebook
dextrose,Unknown,Not found in rulebook
rice-flour,Unknown,Not found in rulebook
milkfat,Unknown,Not found in rulebook
coconut-fat,Unknown,Not found in rulebook
e322i,Unknown,Not found in rulebook
date,Unknown,Not found in rulebook
e450i,Unknown,Not found in rulebook
whole-wheat-flour,Unknown,Not found in rulebook
fr:jaune-d-oeuf-frais,Unknown,Not found in rulebook
e965,Unknown,Not found in rulebook
parmesan-flavor,Unknown,Not found in rulebook
e150,Unknown,Not found in rulebook
sugar-hazelnuts-10-8-in-the-cream-corresponding-to-8-6-of-the-total-ingredients,Unknown,Not found in rulebook
sparkling-filtered-water,Unknown,Not found in rulebook
potat,Unknown,Not found in rulebook
e516,Unknown,Not found in rulebook
barley-flour,Unknown,Not found in rulebook
chamomile-spearmint,Unknown,Not found in rulebook
roasted-almonds,Unknown,Not found in rulebook
onion,Unknown,Not found in rulebook
sweetener,Unknown,Not found in rulebook
retinyl-palmitate,Unknown,Not found in rulebook
cow-s-milk,Unknown,Not found in rulebook
flax-oil,Unknown,Not found in rulebook
oregano,Unknown,Not found in rulebook
chocolate-powder,Unknown,Not found in rulebook
romano-flavor,Unknown,Not found in rulebook
rice-starch,Unknown,Not found in rulebook
cream,Unknown,Not found in rulebook
e460,Unknown,Not found in rulebook
thiamin,Unknown,Not found in rulebook
sugar-cocoa,Unknown,Not found in rulebook
e102,Unknown,Not found in rulebook
mango,Unknown,Not found in rulebook
fr:more-information-on-www-paulandlinh-com-mekong-biscuits-a-l-abricot-et-sans-lait-inared,Unknown,Not found in rulebook
soy-lecithin-an-emulsifier,Unknown,Not found in rulebook
